AT1,AT2,AT3,AT4,AT5,AT6,Class
'\'B5of8\'','\'B5of8\'','\'B3of8\'','\'B3of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B5of8\'','\'B3of8\'','\'B3of8\'','\'B3of8\'','\'B1of8\'','\'B1of8\'','\'B8of8\''
'\'B5of8\'','\'B3of8\'','\'B2of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B8of8\''
'\'B6of8\'','\'B4of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B8of8\''
'\'B5of8\'','\'B4of8\'','\'B1of8\'','\'B3of8\'','\'B1of8\'','\'B1of8\'','\'B8of8\''
'\'B7of8\'','\'B3of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B8of8\''
'\'B5of8\'','\'B3of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B5of8\'','\'B4of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B3of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B3of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B3of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B4of8\'','\'B3of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B3of8\'','\'B4of8\'','\'B3of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B5of8\'','\'B4of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B7of8\'','\'B4of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B4of8\'','\'B1of8\'','\'B3of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B4of8\'','\'B2of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
'\'B6of8\'','\'B4of8\'','\'B1of8\'','\'B2of8\'','\'B1of8\'','\'B1of8\'','\'B1of8\''
